종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
282330,BGF리테일,"179,500","-6,000","3.23","10,124,243,500","3,102,461,127,000"
001040,CJ,"107,000","0","0.00","6,177,370,000","3,121,938,786,000"
000120,CJ대한통운,"177,000","-1,000","0.56","7,402,384,000","4,037,784,888,000"
097950,CJ제일제당,"461,000","2,000","0.44","19,695,208,500","6,939,979,746,000"
005830,DB손해보험,"54,800","-600","1.08","10,634,253,800","3,879,840,000,000"
078930,GS,"46,250","-50","0.11","10,025,028,200","4,297,336,232,500"
006360,GS건설,"42,900","-200","0.46","25,603,792,150","3,671,445,921,000"
007070,GS리테일,"38,650","950","2.52","28,857,860,300","2,976,050,000,000"
011200,HMM,"43,900","300","0.69","209,788,498,550","15,162,730,179,300"
105560,KB금융,"55,800","-300","0.53","51,145,966,000","23,202,081,936,000"
030200,KT,"31,800","-100","0.31","20,593,477,150","8,303,355,494,400"
033780,KT&G,"84,400","100","0.12","36,921,530,800","11,587,486,746,800"
003550,LG,"102,500","500","0.49","33,458,370,000","16,123,351,782,500"
034220,LG디스플레이,"24,500","500","2.08","91,545,669,350","8,766,484,650,000"
051900,LG생활건강,"1,762,000","5,000","0.28","54,091,241,186","27,519,263,114,000"
032640,LG유플러스,"15,350","100","0.66","17,804,003,050","6,701,984,391,350"
011070,LG이노텍,"223,000","500","0.22","36,642,191,500","5,277,764,861,000"
066570,LG전자,"163,500","2,500","1.55","183,186,558,000","26,756,417,589,000"
051910,LG화학,"850,000","11,000","1.31","263,389,539,000","60,003,491,550,000"
035420,NAVER,"417,500","6,000","1.46","399,857,908,862","68,579,967,412,500"
005940,NH투자증권,"12,900","0","0.00","4,708,103,650","3,630,174,642,300"
005490,POSCO,"348,000","1,000","0.29","119,634,322,855","30,341,018,580,000"
010950,S-Oil,"102,500","0","0.00","27,392,886,500","11,539,736,180,000"
034730,SK,"282,500","1,000","0.36","32,557,716,500","19,876,783,902,500"
302440,SK바이오사이언스,"158,500","500","0.32","84,196,439,500","12,125,250,000,000"
326030,SK바이오팜,"123,000","-2,000","1.60","28,603,017,500","9,632,529,750,000"
361610,SK아이이테크놀로지,"183,000","10,000","5.78","210,385,375,500","13,047,459,336,000"
096770,SK이노베이션,"295,500","13,000","4.60","383,417,945,500","27,323,574,162,000"
285130,SK케미칼,"260,000","-1,500","0.57","13,417,486,000","3,055,362,960,000"
017670,SK텔레콤,"320,000","-3,500","1.08","64,069,644,000","23,059,245,760,000"
000660,SK하이닉스,"127,500","2,500","2.00","557,285,330,300","92,820,301,537,500"
035250,강원랜드,"26,900","-150","0.55","13,380,381,300","5,754,999,450,000"
010130,고려아연,"431,500","-5,000","1.15","14,051,746,500","8,142,405,000,000"
011780,금호석유,"219,000","0","0.00","48,237,655,000","6,672,424,329,000"
000270,기아,"89,600","100","0.11","137,219,994,800","36,320,555,891,200"
024110,기업은행,"10,500","0","0.00","8,891,255,450","7,815,156,163,500"
251270,넷마블,"134,000","500","0.37","41,207,105,000","11,517,769,268,000"
042660,대우조선해양,"35,800","-200","0.56","10,197,667,950","3,841,005,950,200"
003490,대한항공,"31,500","0","0.00","39,112,849,100","10,956,355,987,500"
241560,두산밥캣,"48,000","300","0.63","7,355,656,950","4,811,959,968,000"
034020,두산중공업,"23,850","-350","1.45","116,545,944,650","10,076,228,112,150"
023530,롯데쇼핑,"115,500","0","0.00","6,030,860,000","3,267,351,202,500"
004990,롯데지주,"40,200","0","0.00","9,591,837,000","4,217,351,327,400"
011170,롯데케미칼,"262,500","-7,000","2.60","68,655,288,000","8,997,297,487,500"
006800,미래에셋증권,"9,430","-80","0.84","10,558,335,680","5,991,033,727,440"
006400,삼성SDI,"698,000","12,000","1.75","238,164,348,857","47,997,641,940,000"
028260,삼성물산,"136,500","-500","0.36","43,887,654,500","25,510,086,556,500"
207940,삼성바이오로직스,"841,000","-5,000","0.59","43,260,533,000","55,644,765,000,000"
032830,삼성생명,"79,800","-200","0.25","17,668,381,600","15,960,000,000,000"
018260,삼성에스디에스,"185,000","-500","0.27","15,907,866,000","14,314,893,000,000"
028050,삼성엔지니어링,"23,900","-50","0.21","115,281,447,750","4,684,400,000,000"
009150,삼성전기,"177,000","500","0.28","43,232,426,000","13,220,784,192,000"
005930,삼성전자,"80,700","-300","0.37","1,075,902,355,151","481,761,451,785,000"
010140,삼성중공업,"6,710","-70","1.03","34,692,949,590","4,227,300,000,000"
016360,삼성증권,"44,950","-50","0.11","10,439,384,150","4,014,035,000,000"
029780,삼성카드,"34,300","-50","0.15","4,320,273,350","3,973,959,961,300"
000810,삼성화재,"220,500","500","0.23","22,107,110,000","10,446,151,558,500"
068270,셀트리온,"268,500","3,500","1.32","104,431,935,000","37,030,589,379,000"
004170,신세계,"285,500","-2,000","0.70","20,460,869,500","2,810,799,175,500"
019170,신풍제약,"86,000","-500","0.58","263,256,825,600","4,556,709,140,000"
055550,신한지주,"40,600","-300","0.73","55,103,620,750","20,973,941,892,400"
003410,쌍용C&E,"8,350","0","0.00","5,186,669,340","4,207,227,618,250"
002790,아모레G,"64,000","-1,000","1.54","19,367,666,100","5,277,323,520,000"
090430,아모레퍼시픽,"252,000","-3,500","1.37","58,875,922,500","14,731,539,480,000"
012750,에스원,"81,900","900","1.11","7,451,665,100","3,112,132,678,200"
036570,엔씨소프트,"820,000","-2,000","0.24","47,792,123,000","18,002,298,040,000"
007310,오뚜기,"544,000","1,000","0.18","2,127,282,000","1,997,557,664,000"
271560,오리온,"118,500","0","0.00","6,819,860,500","4,685,031,642,000"
316140,우리금융지주,"11,450","-150","1.29","23,303,800,750","8,269,964,970,350"
000100,유한양행,"63,100","-500","0.79","10,856,821,500","4,415,293,712,900"
139480,이마트,"160,000","-2,000","1.23","30,473,090,000","4,460,131,040,000"
030000,제일기획,"25,150","300","1.21","7,825,735,850","2,893,286,808,750"
035720,카카오,"163,000","5,000","3.16","1,178,244,500,070","72,360,522,355,000"
021240,코웨이,"78,700","-900","1.13","13,379,055,100","5,808,030,015,300"
047050,포스코인터내셔널,"23,300","100","0.43","14,428,402,050","2,874,640,971,700"
003670,포스코케미칼,"144,000","-1,000","0.69","33,173,533,000","11,154,703,680,000"
086790,하나금융지주,"46,050","-450","0.97","37,303,658,700","13,826,146,955,100"
352820,하이브,"292,500","3,500","1.21","293,578,665,500","11,387,263,972,500"
000080,하이트진로,"37,700","0","0.00","16,379,850,250","2,644,037,134,700"
036460,한국가스공사,"36,900","-150","0.40","9,405,395,950","3,406,349,700,000"
071050,한국금융지주,"103,000","0","0.00","22,938,377,000","5,739,777,176,000"
015760,한국전력,"24,850","0","0.00","42,218,886,800","15,952,807,313,450"
009540,한국조선해양,"134,000","-500","0.37","22,853,371,500","9,483,597,544,000"
161390,한국타이어앤테크놀로지,"51,700","-1,700","3.18","18,966,002,600","6,404,341,067,300"
047810,한국항공우주,"32,900","-150","0.45","10,440,209,350","3,206,931,020,300"
008930,한미사이언스,"76,500","200","0.26","25,716,914,600","5,148,802,741,500"
128940,한미약품,"334,500","500","0.15","17,713,665,500","4,040,185,329,000"
009240,한샘,"102,500","-2,500","2.38","11,325,614,500","2,412,227,620,000"
018880,한온시스템,"16,550","-100","0.60","15,848,182,300","8,834,390,000,000"
180640,한진칼,"66,000","-200","0.30","4,902,309,000","4,395,930,660,000"
000880,한화,"31,750","400","1.28","8,848,449,400","2,379,939,836,250"
009830,한화솔루션,"44,550","-1,300","2.84","129,040,703,500","8,521,457,041,350"
000720,현대건설,"58,300","300","0.52","71,987,495,800","6,492,041,099,500"
086280,현대글로비스,"209,000","500","0.24","27,020,727,500","7,837,500,000,000"
012330,현대모비스,"292,000","2,500","0.86","89,280,642,000","27,679,583,448,000"
004020,현대제철,"53,700","-400","0.74","39,176,444,000","7,166,038,654,500"
267250,현대중공업지주,"70,800","-100","0.14","8,968,583,500","5,592,710,418,000"
005380,현대차,"239,500","0","0.00","156,348,960,372","51,173,530,786,500"
008770,호텔신라,"97,000","-300","0.31","25,844,913,300","3,807,067,737,000"
081660,휠라홀딩스,"58,200","-1,100","1.85","30,507,680,700","3,535,779,320,400"